ID,ADDRESS,MATCH_IND,MATCH_TYPE,MATCH_ADDRESS,GEOCODE,COL7,COL8
1,"6812 Mystic Plain Ct, Las Vegas, NV, 89149",Match,Non_Exact,"6812 N MYSTIC PLAIN CT, LAS VEGAS, NV, 89149","-115.29752,36.284943",626989366,R
2,"3416 Goldyke St, Las Vegas, NV, 89115",Match,Exact,"3416 GOLDYKE ST, LAS VEGAS, NV, 89115","-115.07684,36.222168",201873991,R
3,"9222 Cowboy Rain Dr, Las Vegas, NV, 89178",Match,Exact,"9222 COWBOY RAIN DR, LAS VEGAS, NV, 89178","-115.29426,36.010292",635104692,L
4,"845 Trotter Cir, Las Vegas, NV, 89107",Match,Exact,"845 TROTTER CIR, LAS VEGAS, NV, 89107","-115.176125,36.160988",202003849,L
5,"10914 Iris Canyon Ln, Las Vegas, NV, 89135",Match,Exact,"10914 IRIS CANYON LN, LAS VEGAS, NV, 89135","-115.33189,36.139626",201985267,R
6,"2192 Gonderville Ct, Henderson, NV, 89044",Match,Exact,"2192 GONDERVILLE CT, HENDERSON, NV, 89044","-115.08403,35.93401",624595616,L
7,"204 N Ring Dove Dr, Las Vegas, NV, 89144",Match,Exact,"204 N RING DOVE DR, LAS VEGAS, NV, 89144","-115.31951,36.175266",201924581,L
8,"4363 Cranbrook Cir, Las Vegas, NV, 89103",Match,Exact,"4363 CRANBROOK CIR, LAS VEGAS, NV, 89103","-115.23455,36.109478",201862568,R
9,"10765 Gilespie St, Las Vegas, NV, 89183",Match,Exact,"10765 GILESPIE ST, LAS VEGAS, NV, 89183","-115.16374,35.99454",201881966,R
10,"381 Dog Leg Dr, Las Vegas, NV, 89148",Match,Exact,"381 DOG LEG DR, LAS VEGAS, NV, 89148","-115.29452,36.041286",612677797,R
11,"7725 Littondale St, Las Vegas, NV, 89139",Match,Exact,"7725 LITTONDALE ST, LAS VEGAS, NV, 89139","-115.22274,36.048832",612992832,R
12,"5108 Nardini Ave, Las Vegas, NV, 89141",Match,Exact,"5108 NARDINI AVE, LAS VEGAS, NV, 89141","-115.2108,35.991253",201970642,R
13,"4100 Plan, Las Vegas, NV, 89131",No_Match,,,,,
14,"2532 Highvale Dr, Las Vegas, NV, 89134",Match,Exact,"2532 HIGHVALE DR, LAS VEGAS, NV, 89134","-115.30958,36.20609",201923827,L
15,"9432 Teton Wood Ave, Las Vegas, NV, 89129",Match,Exact,"9432 TETON WOOD AVE, LAS VEGAS, NV, 89129","-115.30163,36.226513",201948325,R
16,"4725 Madrigal Way, Las Vegas, NV, 89122",Match,Exact,"4725 MADRIGAL WAY, LAS VEGAS, NV, 89122","-115.04321,36.103565",201880043,R
17,"5074 S Rainbow Bl Unit: 201, Las Vegas, NV, 89118",Match,Non_Exact,"5074 S RAINBOW BLVD, LAS VEGAS, NV, 89118","-115.243,36.09615",624610179,L
18,"3761 Monument St, Las Vegas, NV, 89121",Match,Exact,"3761 MONUMENT ST, LAS VEGAS, NV, 89121","-115.098236,36.12133",201877286,R
19,"848 Loma Bonita Pl, Las Vegas, NV, 89138",Match,Exact,"848 LOMA BONITA PL, LAS VEGAS, NV, 89138","-115.359146,36.163334",612689285,L
20,"45 Hawk Ridge Dr, Las Vegas, NV, 89135",Match,Exact,"45 HAWK RIDGE DR, LAS VEGAS, NV, 89135","-115.349266,36.117302",623725283,L
21,"10916 Mcneese Ct, Las Vegas, NV, 89134",Match,Exact,"10916 MCNEESE CT, LAS VEGAS, NV, 89134","-115.333336,36.210995",201904299,R
22,"8005 Egypt Meadows Ave, Las Vegas, NV, 89178",Match,Non_Exact,"8005 W EGYPT MEADOWS AVE, LAS VEGAS, NV, 89178","-115.266464,36.011646",627342705,R
