id,address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price
1,6812 Mystic Plain Ct Las Vegas NV 89149,3,2,1,Single Family Home,1992,6098,220000
2,3416 Goldyke St Las Vegas NV 89115,3,2,0,Mfd/Mobile Home,1782,8276,60000
3,9222 Cowboy Rain Dr Las Vegas NV 89178,3,3,1,Single Family Home,1864,2178,173000
4,845 Trotter Cir Las Vegas NV 89107,5,4,1,Single Family Home,4608,15246,600000
5,10914 Iris Canyon Ln Las Vegas NV 89135,4,4,1,Single Family Home,3951,13503.6,799000
6,2192 Gonderville Ct Henderson NV 89044,5,3,1,Single Family Home,3800,10454.4,394900
7,204 N Ring Dove Dr Las Vegas NV 89144,4,4,0,Single Family Home,3270,8276,585500
8,4363 Cranbrook Cir Las Vegas NV 89103,4,2,1,Single Family Home,2117,6969,198900
9,10765 Gilespie St Las Vegas NV 89183,4,3,1,Single Family Home,4451,49658.4,775000
10,381 Dog Leg Dr Las Vegas NV 89148,3,2,1,Single Family Home,1714,3484,275000
11,7725 Littondale St Las Vegas NV 89139,3,3,0,Single Family Home,2054,4791,218000
12,5108 Nardini Ave Las Vegas NV 89141,3,2,0,Single Family Home,1405,4791,209900
13,4100 Plan Las Vegas NV 89131,5,3,1,Single Family Home; Ready to build,4100,130680,429990
14,2532 Highvale Dr Las Vegas NV 89134,2,2,0,Condo/Townhome/Row Home/Co-Op,1359,3049,195000
15,9432 Teton Wood Ave Las Vegas NV 89129,4,2,0,Single Family Home,1318,4791,155500
16,4725 Madrigal Way Las Vegas NV 89122,2,2,0,Condo/Townhome/Row Home/Co-Op,1045,4356,60000
17,5074 S Rainbow Bl Unit: 201 Las Vegas NV 89118,3,2,0,Condo/Townhome/Row Home/Co-Op,1163,,64000
18,3761 Monument St Las Vegas NV 89121,4,3,0,Condo/Townhome/Row Home/Co-Op,2025,3920,117000
19,848 Loma Bonita Pl Las Vegas NV 89138,4,3,1,Single Family Home,3387,8712,599900
20,45 Hawk Ridge Dr Las Vegas NV 89135,4,4,2,Single Family Home,7016,21780,4499000
21,10916 Mcneese Ct Las Vegas NV 89134,3,2,0,Single Family Home,2192,9147,425000
22,8005 Egypt Meadows Ave Las Vegas NV 89178,4,3,0,Single Family Home,2851,6098,290000
23,3921 Copperhead Hills St Las Vegas NV 89129,3,2,0,Single Family Home,1306,3920,154500
24,8095 Foxland St Las Vegas NV 89131,5,3,1,Single Family Home,4100,20037.6,479900
25,3339 Haleakala Dr Las Vegas NV 89122,2,2,0,Mfd/Mobile Home,1136,3920,55000
26,7932 Pale Rider St Las Vegas NV 89131,3,2,0,Single Family Home,1256,4356,159900
27,9168 Hedge Rock St Las Vegas NV 89123,3,2,0,Condo/Townhome/Row Home/Co-Op,1473,4356,154900
28,2004 Ullom Dr Las Vegas NV 89108,2,2,0,Single Family Home,980,3920,93000
29,6511 Coffeeville Creek Dr Las Vegas NV 89122,5,2,1,Single Family Home,1816,3484,152000
30,1805 Iron Ridge Dr Las Vegas NV 89117,5,4,1,Single Family Home,5211,12632.4,999900
31,820 Glacier Peak Ln Unit 202 Las Vegas NV 89144,2,2,0,Condo/Townhome/Row Home/Co-Op,1410,,212500
32,3651 Arville St Unit: 730 Las Vegas NV 89103,1,1,0,Condo/Townhome/Row Home/Co-Op,452,,55000
33,517 Carpenter Dr Las Vegas NV 89107,4,2,0,Single Family Home,1286,6534,120000
34,5520 Morendo Dr Las Vegas NV 89107,4,2,1,Single Family Home,2040,6534,100000
35,2857 Paradise Rd Unit 3201 Las Vegas NV 89109,4,6,1,Condo/Townhome/Row Home/Co-Op,5779,,4650000
